
# Surface 0 of 1 surfaces

# Curve title: ""o_argB_all""
# IsoCurve 0, 401 points
# x y z type
 199  190 -0.76064 i
 199  191 -0.757125 i
 199  192 -0.753637 i
 199  193 -0.750175 i
 199  194 -0.746738 i
 199  195 -0.743326 i
 199  196 -0.73994 i
 199  197 -0.736578 i
 199  198 -0.733243 i
 199  199 -0.729953 i
 199  200 -0.726934 i

# IsoCurve 2, 401 points
# x y z type
 198 -200  0.723643 i
 198 -199  0.726663 i
 198 -198  0.729953 i
 198 -197  0.733288 i
 198 -196  0.73665 i
 198 -195  0.740036 i
 198 -194  0.743448 i
 198 -193  0.746885 i
 198 -192  0.750348 i
 198 -191  0.753836 i
 198 -190  0.757351 i
 198 -189  0.760893 i
 198 -188  0.764461 i
 198 -187  0.768056 i
 198 -186  0.771679 i
 198 -185  0.775329 i
 198 -184  0.779008 i
 198 -183  0.782714 i
 198 -182  0.786449 i
 198 -181  0.790212 i
 198 -180  0.794005 i
 198 -179  0.797827 i
 198 -178  0.801679 i
 198 -177  0.80556 i
 198 -176  0.809472 i
 198 -175  0.813414 i
 198 -174  0.817387 i
 198 -173  0.82139 i
 198 -172  0.825426 i
 198 -171  0.829492 i
 198 -170  0.833591 i
 198 -169  0.837721 i
 198 -168  0.841884 i
 198 -167  0.84608 i
 198 -166  0.850308 i
 198 -165  0.854569 i
 198 -164  0.858864 i
 198 -163  0.863193 i
 198 -162  0.867555 i
 198 -161  0.871951 i
 198 -160  0.876382 i
 198 -159  0.880848 i
 198 -158  0.885348 i
 198 -157  0.889883 i
 198 -156  0.894453 i
 198 -155  0.899059 i
 198 -154  0.9037 i
 198 -153  0.908377 i
 198 -152  0.91309 i
 198 -151  0.917839 i
 198 -150  0.922625 i
 198 -149  0.927447 i
 198 -148  0.932305 i
 198 -147  0.9372 i
 198 -146  0.942132 i
 198 -145  0.947101 i
 198 -144  0.952107 i
 198 -143  0.95715 i
 198 -142  0.962231 i
 198 -141  0.967348 i
 198 -140  0.972503 i
 198 -139  0.977695 i
 198 -138  0.982924 i
 198 -137  0.988191 i
 198 -136  0.993495 i
 198 -135  0.998836 i
 198 -134 -0.995785 i
 198 -133 -0.99037 i
 198 -132 -0.984917 i
 198 -131 -0.979428 i
 198 -130 -0.973902 i
 198 -129 -0.968339 i
 198 -128 -0.96274 i
 198 -127 -0.957104 i
 198 -126 -0.951433 i
 198 -125 -0.945726 i
 198 -124 -0.939983 i
 198 -123 -0.934205 i
 198 -122 -0.928392 i
 198 -121 -0.922545 i
 198 -120 -0.916663 i
 198 -119 -0.910748 i
 198 -118 -0.9048 i
 198 -117 -0.898818 i
 198 -116 -0.892804 i
 198 -115 -0.886758 i
 198 -114 -0.880681 i
 198 -113 -0.874572 i
 198 -112 -0.868434 i
 198 -111 -0.862265 i
 198 -110 -0.856068 i
 198 -109 -0.849842 i
 198 -108 -0.843588 i
 198 -107 -0.837308 i
 198 -106 -0.831002 i
 198 -105 -0.82467 i
 198 -104 -0.818314 i
 198 -103 -0.811934 i
 198 -102 -0.805531 i
 198 -101 -0.799106 i
 198 -100 -0.792661 i
 198 -99 -0.786195 i
 198 -98 -0.77971 i
 198 -97 -0.773206 i
 198 -96 -0.766686 i
 198 -95 -0.76015 i
 198 -94 -0.753598 i
 198 -93 -0.747033 i
 198 -92 -0.740455 i
 198 -91 -0.733864 i
 198 -90 -0.727263 i
 198 -89 -0.720652 i
 198 -88 -0.714032 i
 198 -87 -0.707404 i
 198 -86 -0.700769 i
 198 -85 -0.694128 i
 198 -84 -0.687482 i
 198 -83 -0.680833 i
 198 -82 -0.674181 i
 198 -81 -0.667526 i
 198 -80 -0.66087 i
 198 -79 -0.654213 i
 198 -78 -0.647557 i
 198 -77 -0.640901 i
 198 -76 -0.634246 i
 198 -75 -0.627593 i
 198 -74 -0.620942 i
 198 -73 -0.614294 i
 198 -72 -0.607649 i
 198 -71 -0.601007 i
 198 -70 -0.594368 i
 198 -69 -0.587732 i
 198 -68 -0.581098 i
 198 -67 -0.574468 i
 198 -66 -0.567841 i
 198 -65 -0.561215 i
 198 -64 -0.55459 i
 198 -63 -0.547967 i
 198 -62 -0.541343 i
 198 -61 -0.534719 i
 198 -60 -0.528092 i
 198 -59 -0.521463 i
 198 -58 -0.514829 i
 198 -57 -0.50819 i
 198 -56 -0.501543 i
 198 -55 -0.494887 i
 198 -54 -0.48822 i
 198 -53 -0.48154 i
 198 -52 -0.474846 i
 198 -51 -0.468134 i
 198 -50 -0.461402 i
 198 -49 -0.454648 i
 198 -48 -0.447869 i
 198 -47 -0.441063 i
 198 -46 -0.434225 i
 198 -45 -0.427353 i
 198 -44 -0.420444 i
 198 -43 -0.413494 i
 198 -42 -0.406499 i
 198 -41 -0.399455 i
 198 -40 -0.392358 i
 198 -39 -0.385204 i
 198 -38 -0.377988 i
 198 -37 -0.370705 i
 198 -36 -0.363352 i
 198 -35 -0.355921 i
 198 -34 -0.348408 i
 198 -33 -0.340807 i
 198 -32 -0.333112 i
 198 -31 -0.325317 i
 198 -30 -0.317416 i
 198 -29 -0.309401 i
 198 -28 -0.301266 i
 198 -27 -0.293003 i
 198 -26 -0.284605 i
 198 -25 -0.276064 i
 198 -24 -0.267372 i
 198 -23 -0.258521 i
 198 -22 -0.249503 i
 198 -21 -0.240309 i
 198 -20 -0.230931 i
 198 -19 -0.221361 i
 198 -18 -0.211591 i
 198 -17 -0.201613 i
 198 -16 -0.191421 i
 198 -15 -0.181007 i
 198 -14 -0.170368 i
 198 -13 -0.159499 i
 198 -12 -0.148398 i
 198 -11 -0.137065 i
 198 -10 -0.125503 i
 198 -9 -0.113717 i
 198 -8 -0.101714 i
 198 -7 -0.089507 i
 198 -6 -0.0771096 i
 198 -5 -0.0645406 i
 198 -4 -0.051822 i
 198 -3 -0.0389794 i
 198 -2 -0.0260409 i
 198 -1 -0.013037 i
 198  0 -1.19652e-16 i
 198  1  0.013037 i
 198  2  0.0260409 i
 198  3  0.0389794 i
 198  4  0.051822 i
 198  5  0.0645406 i
 198  6  0.0771096 i
 198  7  0.089507 i
 198  8  0.101714 i
 198  9  0.113717 i
 198  10  0.125503 i
 198  11  0.137065 i
 198  12  0.148398 i
 198  13  0.159499 i
 198  14  0.170368 i
 198  15  0.181007 i
 198  16  0.191421 i
 198  17  0.201613 i
 198  18  0.211591 i
 198  19  0.221361 i
 198  20  0.230931 i
 198  21  0.240309 i
 198  22  0.249503 i
 198  23  0.258521 i
 198  24  0.267372 i
 198  25  0.276064 i
 198  26  0.284605 i
 198  27  0.293003 i
 198  28  0.301266 i
 198  29  0.309401 i
 198  30  0.317416 i
 198  31  0.325317 i
 198  32  0.333112 i
 198  33  0.340807 i
 198  34  0.348408 i
